,SHAPE
1525,16.364791526822074 48.21184562910523
1526,16.362291085971776 48.21443680994694
1527,16.37662966857364 48.201549145636996
1528,16.366803747884184 48.207336690175694
1529,16.374224660600532 48.21034498062518
1530,16.363066045139224 48.212943488122086
1531,16.372613257643422 48.20480540928837
1532,16.374224660600532 48.21034498062518
1533,16.368771921370037 48.21759491622958
1534,16.366027947729087 48.21624614195834
1535,16.36946346045482 48.21674899673567
1536,16.366539227598608 48.20953940947416
1537,16.367336421423683 48.21130744209769
1538,16.36553126421726 48.20614357165525
1539,16.376355541083505 48.20847114736442
1540,16.37591377958523 48.20927511499036
1541,16.369854203001886 48.216279347453394
1542,16.36974491242902 48.21254315024775
1543,16.361522678961908 48.211854941055805
1544,16.365553864667625 48.21012368540672
1545,16.36183847196476 48.21292011700802
1546,16.375040645743198 48.210620439384705
1547,16.36553126421726 48.20614357165525
1548,16.364994286038524 48.20703276780506
1549,16.367781515788117 48.205534214789864
1550,16.367781515788117 48.205534214789864
1551,16.36899478616732 48.20122108035399
1552,16.36631603074315 48.20911220049102
1553,16.366699469197602 48.209079004137514
1554,16.37659144228268 48.20716012280809
1555,16.370767823501694 48.20419012396613
1556,16.371610174795055 48.21008456421094
1557,16.37585384441342 48.207803485267235
1558,16.373765277172478 48.21140606159099
1559,16.376204431518204 48.21000346469364
1560,16.377108522420855 48.20990458035363
1561,16.371063501915447 48.21067936309273
1562,16.374544820129554 48.20197587045525
1563,16.36686403324429 48.21629709285738
1564,16.37152514453334 48.21190947125642
1565,16.366327953651457 48.200097657755165
1566,16.367266925397665 48.21164092934674
1567,16.369595861732087 48.21755591864621
1568,16.371465409378295 48.211076470619716
1569,16.364483117400198 48.214505268213365
1570,16.369766314517413 48.20906204995998
1571,16.367095253896416 48.2035115293072
1572,16.369074617027376 48.201309820695826
1573,16.369902689207866 48.20972855673491
1574,16.357045368947105 48.21376833931169
1575,16.376134017267425 48.211154890703796
1576,16.373036194532574 48.206993415554834
1577,16.37550002641586 48.20995037827947
1578,16.36766920175772 48.21026395837774
1579,16.371096033265875 48.20944944083131
1580,16.366863048858015 48.21060456993479
1581,16.35584569425718 48.209699391552256
1582,16.37101923703265 48.20910404723458
1583,16.369902689207866 48.20972855673491
1584,16.36593857445481 48.20832584195174
1585,16.37573271808248 48.21019824136077
1586,16.369437752253866 48.20947790209741
1587,16.37238492089256 48.213341125231885
1588,16.36590599126455 48.200393105566356
1589,16.381670386785167 48.20882727501617
1590,16.357045368947105 48.21376833931169
1591,16.36587013117355 48.21583096648823
1592,16.37582585978609 48.209719140553915
1593,16.358773043260165 48.21301626947852
1594,16.36852142165042 48.201273015700984
1595,16.36829116942014 48.20767549004201
1596,16.37210057072035 48.20984069564449
1597,16.35554384067272 48.20882386318178
1598,16.377851279261538 48.21095678936151
1599,16.35577779283763 48.209466478834486
1600,16.36863620581511 48.20098118083389
1601,16.369094469970424 48.201221051816155
1602,16.376615308213676 48.209334474456675
1603,16.36991449015502 48.20891802508209
1604,16.369939043394634 48.205542771881674
1605,16.35598318041357 48.20894573620885
1606,16.367385430136114 48.21018967275854
1607,16.368481684322767 48.209736010646736
1608,16.376101260868964 48.20761939821872
1609,16.372584018002627 48.21023957242344
1610,16.36963967218996 48.209589532896054
1611,16.374295750712673 48.21203891909534
1612,16.368481684322767 48.209736010646736
1613,16.35839499285527 48.213452783889835
1614,16.367826057299283 48.20362650012694
1615,16.371202988245955 48.210813589342614
1616,16.369041374807445 48.20128761693611
1617,16.3684636867847 48.216335577632435
1618,16.36757155428879 48.206976609113255
1619,16.366173863703253 48.21609654688203
1620,16.368957660692423 48.209438200220035
1621,16.369754311728123 48.216829221380124
1622,16.372470660335193 48.209764766439676
1623,16.366166920746053 48.21089784281291
1624,16.371230027695663 48.20686771630604
1625,16.355909355133427 48.20870185283346
1626,16.36654171143543 48.208507796697724
1627,16.37317501031046 48.20489848940641
1628,16.368957660692423 48.209438200220035
1629,16.364424110566794 48.21364697071295
1630,16.36878290122632 48.21647174799802
1631,16.365010077340354 48.21406150198658
1632,16.36963967218996 48.209589532896054
1633,16.369260573723952 48.20992734437592
1634,16.355916007053025 48.209903435578084
1635,16.376276282874226 48.2093176168386
1636,16.367107029000337 48.21044748290197
1637,16.368940721893036 48.217253576032995
1638,16.368178028944047 48.20933724647356
1639,16.35666578954933 48.21245063234026
1640,16.37411426736557 48.21098857169962
1641,16.370687273624192 48.210643503924345
1642,16.370747811042104 48.21242477176923
1643,16.375936483613557 48.20697356221864
1644,16.377310997388616 48.2107174948065
1645,16.368309344758746 48.20911867458825
1646,16.36513082365812 48.21581146021615
1647,16.371323676489602 48.21061111516897
1648,16.36716810023977 48.216435056906754
1649,16.36744224934765 48.21567029012361
1650,16.3738405680997 48.2027121994214
1651,16.376149447725133 48.20920002975981
1652,16.37569204256409 48.206475691866366
1653,16.372328203037082 48.213243207023325
1654,16.368003122996132 48.2106472471123
1655,16.35755179898434 48.21332631965628
1656,16.37730865250783 48.211317073334875
1657,16.368003122996132 48.2106472471123
1658,16.37048058719026 48.209210496680114
1659,16.35755179898434 48.21332631965628
1660,16.370723857111596 48.21122157683116
1661,16.3640296705962 48.2135574047836
1662,16.377544666585795 48.21116131600564
1663,16.361740263051825 48.21403457771943
1664,16.370368218653784 48.2111337737068
1665,16.368344909959106 48.20983380532567
1666,16.373431986699423 48.20343430906231
1667,16.374164920345205 48.212161899684496
1668,16.371977343464728 48.212181848024834
1669,16.369475251142656 48.20464916063768
1670,16.372839685391458 48.2080125003545
1671,16.37177344538658 48.21075603719161
1672,16.37166501601051 48.212757164394354
1673,16.367176427341374 48.21039854108559
1674,16.37279101189449 48.20994165125727
1675,16.36664676598328 48.21073008290922
1676,16.37143729026925 48.21068824213069
1677,16.356600589393405 48.21226169655235
1678,16.368085265483202 48.209240235467405
1679,16.367589049562145 48.209229940178034
1680,16.369885027909458 48.21670309832234
1681,16.377451157112183 48.21133383952013
1682,16.376727328532127 48.21005319360296
1683,16.374829984389915 48.21175167711636
1684,16.36395656056707 48.21496477000911
1685,16.370910621455845 48.21262104447878
1686,16.37652280152645 48.20986656644806
1687,16.37409212076469 48.21121512800528
1688,16.375973270933724 48.20964975185541
1689,16.371350395900233 48.21092164273603
1690,16.37690210330847 48.20970833180004
1691,16.381151186248033 48.207306366209586
1692,16.35633890755892 48.21335783561202
1693,16.381151186248033 48.207306366209586
1694,16.378151291178998 48.21123915700337
1695,16.3689556193023 48.209823020591756
1696,16.370967684920547 48.20549650942159
1697,16.37150513464532 48.20995140703093
1698,16.37577451516118 48.20981723560307
1699,16.367915352628856 48.20992502617342
1700,16.379177769406528 48.206464642370975
1701,16.377308450242577 48.209722126470155
1702,16.372307303526668 48.21203587474551
1703,16.37776597127934 48.21111995721772
1704,16.369161658600532 48.210521284877125
1705,16.375916359589585 48.207221062648586
1706,16.355576792621164 48.208959687593925
1707,16.37646795378558 48.20941386711903
1708,16.37321700930572 48.20996318828699
1709,16.374908060494292 48.20680771893977
1710,16.3572976558888 48.2108389768662
1711,16.370894256895024 48.21031123211005
1712,16.372307303526668 48.21203587474551
1713,16.37339340867746 48.210898335840504
1714,16.371487950754663 48.212499247766154
1715,16.371638660059663 48.21252107551285
1716,16.374908060494292 48.20680771893977
1717,16.372912421001153 48.20342926038629
1718,16.36996572217755 48.20519553563617
1719,16.3780987511334 48.21083070433931
1720,16.375911774096057 48.207670632668325
1721,16.356417222478168 48.20995685787659
1722,16.356417222478168 48.20995685787659
1723,16.376941268647606 48.21141657935556
1724,16.37362487549279 48.20744873175621
1725,16.378057651853176 48.20679968872266
1726,16.36769678157979 48.215695244125655
1727,16.369515496691548 48.21006180916542
1728,16.366181586536037 48.21618647693915
1729,16.376909119633776 48.20922485390666
1730,16.38056996495937 48.20932835811064
1731,16.370497106004475 48.21063499038959
1732,16.36172762596702 48.214057693085344
1733,16.357175107781174 48.212513402805584
1734,16.368084952690356 48.20873742469208
1735,16.37569292876385 48.20937330721001
1736,16.37611032555219 48.20958558263518
1737,16.375489418170584 48.20945116839593
1738,16.377308450242577 48.209722126470155
1739,16.367978592795243 48.20407791166707
1740,16.369041326477905 48.20121216374233
1741,16.367724944627835 48.20135867302848
1742,16.376268763015823 48.20950872535041
1743,16.37130067826569 48.21239411698403
1744,16.357618768865173 48.213552576367064
1745,16.37361167258928 48.21055904078271
1746,16.371705935969132 48.2092527519111
1747,16.357154824518904 48.21292673458015
1748,16.369140938484584 48.20130980167265
1749,16.36944675599745 48.21651355942359
1750,16.369740632804028 48.20929318318582
1751,16.36906125621515 48.20124318468251
1752,16.365904174018834 48.20863215992397
1753,16.369401546172618 48.209458217432974
1754,16.363547492933478 48.21320237883889
1755,16.368328226183817 48.2070437535349
1756,16.37724531504912 48.20985021248366
1757,16.37330646192619 48.20509854623475
1758,16.367319664207965 48.210301375578744
1759,16.370380553525376 48.2103233472664
1760,16.3690613131622 48.201332037787346
1761,16.357618768865173 48.213552576367064
1762,16.372811757445582 48.20752732500974
1763,16.37525000057438 48.20955251374242
1764,16.369008141190537 48.201278813078346
1765,16.37606422307295 48.21016584104721
1766,16.36689994506438 48.21087813369797
1767,16.368300413745633 48.20173254190215
1768,16.366249575026323 48.2148661662081
1769,16.37620496147724 48.206716172863956
1770,16.369304609149946 48.216652185843344
1771,16.36818332219411 48.20725459513971
1772,16.363809737953837 48.21343820795413
1773,16.35681953763967 48.212997482051726
1774,16.374359419676725 48.21116826482567
1775,16.364908814858435 48.214650582654386
1776,16.36906127904005 48.201278797870444
1777,16.373356925234688 48.210313788600835
1778,16.371144356140345 48.212439850220555
1779,16.369784655526377 48.21035931624046
1780,16.373128481947127 48.21445424789726
1781,16.36689994506438 48.21087813369797
1782,16.36811632115897 48.20764268658264
1783,16.375771356261687 48.20918127498346
1784,16.36962498263941 48.205465342212264
1785,16.369094492760627 48.20125657507193
1786,16.369028036845954 48.20125659410677
1787,16.358200701965675 48.213165308363095
1788,16.375495814445554 48.207439023232304
1789,16.36909454688033 48.20134093156196
1790,16.373037676393512 48.20493612525578
1791,16.370387540569823 48.20970380245259
1792,16.369107825105655 48.20127878452889
1793,16.371471626110896 48.21228167457597
1794,16.377494413399653 48.20757160109503
1795,16.37275158910152 48.20314746396956
1796,16.371912103523954 48.20950530743187
1797,16.36730572730103 48.21061578220646
1798,16.36698087113152 48.21053115373536
1799,16.357663076993326 48.209792774882025
1800,16.367583271636914 48.20858314945475
1801,16.36758273013257 48.21165397348217
1802,16.37583365554171 48.21092719666742
1803,16.36799931817458 48.210153250780955
1804,16.367469378165314 48.203599739630725
1805,16.373075607873247 48.21053763057102
1806,16.372754927774523 48.21424653440573
1807,16.373178636300477 48.20283733057346
1808,16.36730572730103 48.21061578220646
1809,16.371235473833128 48.21149013902343
1810,16.377135352375365 48.2091304345806
1811,16.36672988820419 48.210679249146
1812,16.377206564410713 48.20883992819162
1813,16.376336727343308 48.20781240056739
1814,16.355495402462893 48.208680280218125
1815,16.37648480957882 48.21014644870996
1816,16.368614503098627 48.2127453728168
1817,16.36653378986448 48.21080898334396
1818,16.377711085491974 48.20747745384429
1819,16.368278091448204 48.209702163323115
1820,16.368165494022147 48.20994914850306
1821,16.357183387735418 48.20973476753282
1822,16.364143628617878 48.21427377626487
1823,16.368119411499443 48.20897771392121
1824,16.365259464746607 48.214858327428104
1825,16.366749257265997 48.20096233552128
1826,16.356330175748187 48.209288946921085
1827,16.37187323624994 48.211463322609355
1828,16.368647298802703 48.211413288698346
1829,16.36730572730103 48.21061578220646
1830,16.377202559423854 48.211066650235125
1831,16.371589047569593 48.21234498931688
1832,16.375571066383237 48.20872134071968
1833,16.361746995742852 48.21404401909097
1834,16.369014724398387 48.20126541128154
1835,16.368450010941917 48.20922169741627
1836,16.37055653458444 48.21131182900237
1837,16.369107830762236 48.20128759789354
1838,16.371025382226815 48.21180613460891
1839,16.38119509899025 48.20997283856912
1840,16.37119920384459 48.20980338246147
1841,16.371025382226815 48.21180613460891
1842,16.37708226064286 48.207342061767775
1843,16.367798992038992 48.21672905266244
1844,16.369028028266474 48.20124319419512
1845,16.370344072840744 48.210094840487095
1846,16.373751360173586 48.2017736952247
1847,16.37708226064286 48.207342061767775
1848,16.365370378477195 48.207909244735994
1849,16.36799068667906 48.20391627395353
1850,16.37119920384459 48.20980338246147
1851,16.36912772637793 48.20126537890478
1852,16.367014475574493 48.20846198512047
1853,16.36886941296929 48.21009580945123
1854,16.36308928771231 48.213644413617594
1855,16.37114460251386 48.21122225885598
1856,16.371444358569477 48.210988163710226
1857,16.363195682243894 48.21484264398917
1858,16.380887045607917 48.209119592444345
1859,16.369247628212566 48.217394861235846
1860,16.368457717827805 48.21163322626132
1861,16.364802670601634 48.20842775421973
1862,16.3730380331046 48.20730529989346
1863,16.365253243109272 48.20839508551708
1864,16.372611602982744 48.209863916993825
1865,16.38119509899025 48.20997283856912
1866,16.36483089872486 48.21536367369701
1867,16.367769510154343 48.20993882602221
1868,16.372143637809913 48.20966522448698
1869,16.36973164383618 48.21015518572405
1870,16.373908999731153 48.21106768969628
1871,16.376052186015905 48.20904717885633
1872,16.36294252203391 48.21448998961458
1873,16.376482344503863 48.210605283489485
1874,16.367392011047265 48.203961876574276
1875,16.356539150024627 48.212054593761735
1876,16.371866152232265 48.21172467392637
1877,16.381918879042075 48.209264156822535
1878,16.37121388043366 48.20666726230956
1879,16.37427931953785 48.21183684702552
1880,16.369958524883124 48.204889678172
1881,16.367468231520952 48.208797399350935
1882,16.37108819206212 48.20662656129654
1883,16.37011189413906 48.21159920456433
1884,16.37167009410023 48.21131616665233
1885,16.36308928771231 48.213644413617594
1886,16.36906128468864 48.2012876112351
1887,16.367770207780953 48.21019765061803
1888,16.366570981262907 48.20136608900374
1889,16.370283715737795 48.20896423107173
1890,16.378231575524918 48.207246498364086
1891,16.36778799250187 48.21111009743479
1892,16.372538492546973 48.20960286706048
1893,16.381918879042075 48.209264156822535
1894,16.37851228274153 48.20665832843926
1895,16.36784120111994 48.20881087684775
1896,16.366824106814107 48.21118482261982
1897,16.37113090835745 48.210476725429
1898,16.37607820861491 48.21136706005656
1899,16.372334903286117 48.20995897283373
1900,16.367968961038105 48.211755040839314
1901,16.356705814758442 48.209918855217055
1902,16.372144573301746 48.21099945782375
1903,16.35689028248973 48.213250987952975
1904,16.367611389581608 48.21011657539695
1905,16.36896974555631 48.21066271321233
1906,16.36469567072488 48.21416832994124
1907,16.375639719485946 48.20986334256548
1908,16.36948132727272 48.2053048549169
1909,16.36872344849756 48.20716109365047
1910,16.3684994891572 48.21130109508281
1911,16.36896974555631 48.21066271321233
1912,16.375720191546502 48.20721312639788
1913,16.366701805852454 48.21097045694711
1914,16.36505437479196 48.21434891386129
1915,16.369307747545623 48.2050542639632
1916,16.368299989114643 48.20754937563721
1917,16.380372911778696 48.20939642283798
1918,16.368396854658485 48.217129983435655
1919,16.378772097438695 48.2070033922404
1920,16.379063939799213 48.20686928461957
1921,16.35691175251374 48.2121070473884
1922,16.37005606212021 48.205295423740466
1923,16.367231569625538 48.21036012514758
1924,16.371721535342687 48.213318759539824
1925,16.36902804248885 48.20126540747148
1926,16.36909449841491 48.20126538843662
1927,16.3682464476451 48.21624677304027
1928,16.358918716361583 48.21350538150065
1929,16.36909452691717 48.201309814989024
1930,16.368396854658485 48.217129983435655
1931,16.374299785909045 48.21167487244001
1932,16.35689028248973 48.213250987952975
1933,16.375248675235852 48.208872267147214
1934,16.371669013950825 48.21014399120326
1935,16.373293453413936 48.21017720217064
1936,16.3702710665358 48.21139060475669
1937,16.3691620699169 48.210742427945576
1938,16.37325174378107 48.214087734837406
1939,16.36992923297183 48.21700966374355
1940,16.36721664289866 48.208595300081775
1941,16.35618124012228 48.20965445736929
1942,16.370884395953397 48.20599025272815
1943,16.36904135205394 48.20125209368054
1944,16.37165530395649 48.20860795377168
1945,16.3680151494653 48.209863125205345
1946,16.367319356544257 48.208686733304944
1947,16.367477686634718 48.21657391796468
1948,16.379291318925404 48.20895697563818
1949,16.36650214933086 48.20349147703581
1950,16.366027947729087 48.21624614195834
1951,16.357135245653062 48.214076160539484
1952,16.376001859323424 48.20747904855203
1953,16.371686222789453 48.21251911917911
1954,16.36937967919442 48.209349675615854
1955,16.38091118866631 48.20594641488458
1956,16.373617362820077 48.20213157961035
1957,16.36847291779687 48.21397640357986
1958,16.37165530395649 48.20860795377168
1959,16.374245581920658 48.202274095610285
1960,16.3667957185532 48.203669835530654
1961,16.374544820129554 48.20197587045525
1962,16.377989218233424 48.20735342632841
1963,16.368123720797154 48.21136001588728
1964,16.372045917836868 48.213459312501186
1965,16.372617235145892 48.21192084353012
1966,16.370523499314164 48.209599890197126
1967,16.368696137395265 48.206737970294824
1968,16.376056969536577 48.21052764067457
1969,16.370852425935986 48.20296710946629
1970,16.36767818338861 48.20337022392446
1971,16.379509541439642 48.20687199518703
1972,16.379441272674327 48.20680493148687
1973,16.367986185338943 48.20221106922261
1974,16.37591377958523 48.20927511499036
1975,16.362291085971776 48.21443680994694
1976,16.381326832528433 48.20906681007216
1977,16.36946346045482 48.21674899673567
1978,16.36686403324429 48.21629709285738
1979,16.367260503361504 48.208371087250526
1980,16.3735038524274 48.20254494538238
1981,16.367831773701347 48.20857795506908
1982,16.367336421423683 48.21130744209769
1983,16.37595957675418 48.2034411054593
1984,16.370034944346294 48.20734075867492
1985,16.371714071361453 48.20640828993646
1986,16.366173863703253 48.21609654688203
1987,16.37273935963039 48.20597294424879
1988,16.370747811042104 48.21242477176923
1989,16.369761029006373 48.20694864472632
1990,16.368912661725627 48.21145224389502
1991,16.369738944073767 48.207329064462215
1992,16.370191710757663 48.20250820278739
1993,16.368233417325914 48.214216319633294
1994,16.36999040171788 48.20651033767866
1995,16.36991449015502 48.20891802508209
1996,16.367743793901443 48.20313312193474
1997,16.36987293770563 48.20710860135454
1998,16.3712902565714 48.202869759606386
1999,16.374533704208552 48.20294255636322
2000,16.3707024584508 48.208615618678735
2001,16.376448784069364 48.20487544449091
2002,16.376967897720085 48.210724092300495
2003,16.376134017267425 48.211154890703796
2004,16.36899089718078 48.21420886790003
2005,16.370051759561385 48.20692940375405
2006,16.37312887966514 48.20125227366939
2007,16.36744224934765 48.21567029012361
2008,16.374829984389915 48.21175167711636
2009,16.370824544073777 48.20749871387823
2010,16.37602195280653 48.20182149325396
2011,16.369773876370555 48.21326745062575
2012,16.36992481735175 48.204164204559206
2013,16.369569831178467 48.204238682336474
2014,16.370666783211064 48.207984485229275
2015,16.371978657124338 48.20891086463695
2016,16.37571284482819 48.20151969734843
2017,16.37009935048808 48.2113500962185
2018,16.370853432817917 48.21301559400943
2019,16.372839685391458 48.2080125003545
2020,16.372914975500404 48.201923793079345
2021,16.371499685220297 48.208681026691416
2022,16.36858630210699 48.20218634986176
2023,16.363123192131663 48.21184396444828
2024,16.376025785315576 48.204504891292345
2025,16.374105788878786 48.20882784790433
2026,16.37550399744946 48.20161473757579
2027,16.375100885356673 48.20382963734849
2028,16.369475251142656 48.20464916063768
2029,16.376914008847244 48.20301188381563
2030,16.3585229061767 48.205927414392505
2031,16.361658451680924 48.20266545743044
2032,16.36946431516854 48.20396756719937
2033,16.37602195280653 48.20182149325396
2034,16.370123446943165 48.210757616056
2035,16.369440526751156 48.21375615337407
2036,16.369569831178467 48.204238682336474
2037,16.370687273624192 48.210643503924345
2038,16.37711048708049 48.202922601125856
2039,16.372839685391458 48.2080125003545
2040,16.372209355773528 48.20266047222554
2041,16.370423383572614 48.210791071681136
2042,16.369821418498987 48.2118421967738
2043,16.372576810815282 48.2021677072349
2044,16.369084309900785 48.20572531269907
2045,16.36997326668351 48.21353923441936
2046,16.370497106004475 48.21063499038959
2047,16.372036071832966 48.20842167584453
2048,16.358607978592584 48.20572082344356
2049,16.368142958655138 48.20336674547504
2050,16.37362487549279 48.20744873175621
2051,16.37112751081411 48.208649844178616
2052,16.36985171407517 48.2128988005445
2053,16.37122439378313 48.213194086575044
2054,16.363210864444337 48.20943933769423
2055,16.372235248859678 48.20811071785587
2056,16.372837788534525 48.20648770024676
2057,16.37258583261478 48.20691936515651
2058,16.366181586536037 48.21618647693915
2059,16.37568823420583 48.20397602635769
2060,16.372708035009698 48.20659646966225
2061,16.37048058719026 48.209210496680114
2062,16.36378131728824 48.20838573625733
2063,16.37000787470719 48.213151074501305
2064,16.369568454495415 48.21142471566633
2065,16.36229908594493 48.212443642603326
2066,16.374581199056617 48.202590455589
2067,16.369784655526377 48.21035931624046
2068,16.375005938686858 48.20725195104813
2069,16.370380553525376 48.2103233472664
2070,16.367724944627835 48.20135867302848
2071,16.376173582847592 48.20408773407919
2072,16.37017657290148 48.2127547234697
2073,16.382948489151733 48.20991539073592
2074,16.376901467703174 48.20416104285249
2075,16.376438601555908 48.20201416278304
2076,16.372898853866566 48.20928520185004
2077,16.376941268647606 48.21141657935556
2078,16.37072689719963 48.207344959219164
2079,16.37486381251065 48.201297044332556
2080,16.362303191950218 48.21231566824162
2081,16.371555644255732 48.208273526682476
2082,16.369784655526377 48.21035931624046
2083,16.375939193119663 48.20387251762851
2084,16.371277884227094 48.20877561344451
2085,16.372488204128288 48.20055631920291
2086,16.384048665735243 48.21103774055701
2087,16.37536289206776 48.203218098707886
2088,16.36859188541317 48.204209734626886
2089,16.36961265285192 48.206364128572424
2090,16.37005973925696 48.20434447900739
2091,16.372141393911615 48.20588870201502
2092,16.36217350251051 48.2120931156517
2093,16.370396295225266 48.20326285372124
2094,16.370140246636065 48.213402764420174
2095,16.370322283004125 48.20788215541588
2096,16.366249575026323 48.2148661662081
2097,16.368827753771992 48.21165560465903
2098,16.371555644255732 48.208273526682476
2099,16.36179351589096 48.21127607762385
2100,16.373297189031017 48.200277279317824
2101,16.37105246734246 48.20889619126932
2102,16.374390706161964 48.20241128408544
2103,16.374778423573307 48.20277466071672
2104,16.368257580670978 48.20484636905112
2105,16.36834788172532 48.20473391227732
2106,16.367928499831375 48.20182041929169
2107,16.371577165287675 48.202805100126895
2108,16.366446322863933 48.21649307580665
2109,16.37046239342874 48.21339297669211
2110,16.37430501075531 48.20711827684627
2111,16.36753313268828 48.20249645909039
2112,16.373511406612593 48.20072408357291
2113,16.35953387252972 48.20691179108048
2114,16.374547968676932 48.201976660807404
2115,16.367678885786297 48.2152963777548
2116,16.3668354973215 48.21223252906831
2117,16.376831709593112 48.20254480468665
2118,16.37494067632681 48.20225281891319
2119,16.375482275870418 48.20276237103152
2120,16.36834788172532 48.20473391227732
2121,16.374187052702652 48.208254969137904
2122,16.369022068082323 48.213996752312575
2123,16.362790234603388 48.212181197728285
2124,16.36161284839151 48.212163028618406
2125,16.363180915233368 48.21209845884032
2126,16.37498547894322 48.20297037351047
2127,16.37013237371193 48.20411998662159
2128,16.36991198745564 48.21104546128696
2129,16.377202559423854 48.211066650235125
2130,16.379108589703126 48.20909949667602
2131,16.37032043257207 48.20732556552008
2132,16.368253145120118 48.2035899266471
2133,16.376791541182072 48.21077433695149
2134,16.37433303150706 48.20871906348756
2135,16.369997301475948 48.21064973468971
2136,16.377229203907824 48.210902514526865
2137,16.37607820861491 48.21136706005656
2138,16.362486545993644 48.21222875191348
2139,16.37329889251636 48.209326442025386
2140,16.37216606928916 48.20903560224929
2141,16.369170037860258 48.20597700842721
2142,16.369728932361124 48.21135802915891
2143,16.37011189413906 48.21159920456433
2144,16.369662968668788 48.2121320044533
2145,16.358839593029682 48.20619436107902
2146,16.372725485898943 48.20616353035799
2147,16.362800146013914 48.20902772416229
2148,16.36924746255678 48.211921234017574
2149,16.370157924589247 48.20755709924563
2150,16.384390749730024 48.20980570665447
2151,16.383862299038068 48.210734746702805
2152,16.37039578653878 48.20713947333291
2153,16.36829540999506 48.20483230655951
2154,16.376479013902564 48.21081878360954
2155,16.364802670601634 48.20842775421973
2156,16.376620550304477 48.20265528821823
2157,16.3688350613538 48.213622867936536
2158,16.36941582252258 48.206158061052044
2159,16.377251909870605 48.202457330907
2160,16.37065047271055 48.21334426710018
2161,16.368457717827805 48.21163322626132
2162,16.37944974028326 48.20886896237536
2163,16.370283715737795 48.20896423107173
2164,16.358242826789912 48.20599608689519
2165,16.37509977078552 48.203424402906144
2166,16.375841072181647 48.20311631106324
2167,16.368854784380183 48.2027622001433
2168,16.36284653212191 48.21206957887682
2169,16.362365204954177 48.212282559082404
2170,16.372812212857315 48.20232402462929
2171,16.37055820659106 48.20778405890742
2172,16.3702710665358 48.21139060475669
2173,16.37596549828871 48.20222926586647
2174,16.3701725129471 48.21292262795394
2175,16.375917377023985 48.2041918746578
2176,16.36729226768712 48.20195827984723
2177,16.377453596094647 48.202657897530706
2178,16.374708699241516 48.20702425286309
2179,16.371209808080657 48.202279648501566
2180,16.373927801479457 48.20849798940505
2181,16.373298052510165 48.20221487065361
2182,16.37596549828871 48.20222926586647
2183,16.371209808080657 48.202279648501566
2184,16.372059624052916 48.20208333366506
2185,16.37442932637443 48.208975981208845
2186,16.369102801109353 48.21336378696842
2187,16.36925799103302 48.211555566883995
2188,16.370210575635557 48.20661072692188
2189,16.374734064782164 48.20729880740755
2190,16.36729226768712 48.20195827984723
2191,16.382505569912805 48.20665399914435
2192,16.376296283486926 48.21166645813417
2193,16.36925799103302 48.211555566883995
2194,16.368978814061304 48.21348154360144
2195,16.37662966857364 48.201549145636996
2196,16.368005189979307 48.203136647053405
2197,16.376622093183027 48.2115666090997
2198,16.369287853699095 48.206748952765146
2199,16.372988923160943 48.206739821854505
2200,16.37261570571157 48.20256933251504
2201,16.376213752292085 48.20246390286698
2202,16.368638707961864 48.2063433639381
2203,16.374245581920658 48.202274095610285
2204,16.375711182749896 48.203553246856146
2205,16.359183952673856 48.20605966399498
2206,16.363568946565852 48.2037412369341
2207,16.37298896521633 48.20248548649553
2208,16.374736584979875 48.207297318183166
2209,16.37265478205876 48.20871304113335
2210,16.372435387682398 48.206118116619336
2211,16.366027947729087 48.21624614195834
2212,16.375642517774896 48.20190921834222
2213,16.375642517774896 48.20190921834222
2214,16.37525624187581 48.202554974387965
2215,16.370661153951424 48.202754416066405
2216,16.37140969666584 48.208517827407135
2217,16.369721403749324 48.21301359208229
2218,16.37046421242653 48.20866641182906
2219,16.37263290372622 48.20651501494321
2220,16.371693043349307 48.2149227974252
2221,16.36843795137294 48.21293715785862
2222,16.37281531282416 48.213447558272726
2223,16.373617362820077 48.20213157961035
2224,16.36809640176639 48.213081774250426
2225,16.36086069578922 48.21301871722258
2226,16.37238492089256 48.213341125231885
2227,16.36593857445481 48.20832584195174
2228,16.3735038524274 48.20254494538238
2229,16.37068589349499 48.202467577694115
2230,16.369188082720456 48.20663018102738
2231,16.368742604248794 48.2125391221773
2232,16.363215774889614 48.201910479231664
2233,16.368998086606148 48.21268851662801
2234,16.36943662585068 48.21458811642159
2235,16.381670386785167 48.20882727501617
2236,16.370114728128566 48.20876481154895
2237,16.363307659219235 48.20293118904866
2238,16.369595861732087 48.21755591864621
2239,16.371425543930137 48.211412649251265
2240,16.36965647629908 48.20754519564566
2241,16.368311072048215 48.20392931483482
2242,16.367455382084295 48.202210707852096
2243,16.36916109841759 48.21174247376066
2244,16.37585384441342 48.207803485267235
2245,16.373681933253476 48.20599244063358
2246,16.371425543930137 48.211412649251265
2247,16.37702957148103 48.204618228254866
2248,16.371435920341973 48.213393131530104
2249,16.372383933237636 48.20927313459238
2250,16.362564116005764 48.20791306910461
2251,16.37423633286895 48.20757920222609
2252,16.368463579817515 48.2145328161409
2253,16.37524435018605 48.207432993666096
2254,16.371465409378295 48.211076470619716
2255,16.373748130971627 48.20623409118615
2256,16.37540345625694 48.207357756097004
2257,16.37903784497737 48.21106445111508
2258,16.381616744695403 48.211153481843276
2259,16.365892400461092 48.2085146215944
2260,16.370374193961972 48.206838746424474
